TA_F,SW_IN_F,LW_IN_F,LW_OUT,VPD_F,PA_F,WS_F,NETRAD,G_F_MDS,LE_F_MDS,SWC_F_MDS_1_QC,SWC_F_MDS_1,AET_MS,SWI,PET_P,PET_PT,PET_PM,PET_HS,PET_OD,PET_Ham,PET_TH,PET_BR,AET_NLF1_P,AET_NLF1_PM,AET_NLF1_PT,AET_NLF1_HS,AET_NLF1_OD,AET_NLF1_Ham,AET_NLF1_TH,AET_NLF1_BR,AET_NLF2_P,AET_NLF2_PM,AET_NLF2_PT,AET_NLF2_HS,AET_NLF2_OD,AET_NLF2_Ham,AET_NLF2_TH,AET_NLF2_BR,AET_NLF3_P,AET_NLF3_PM,AET_NLF3_PT,AET_NLF3_HS,AET_NLF3_OD,AET_NLF3_Ham,AET_NLF3_TH,AET_NLF3_BR,AET_NLF4_P,AET_NLF4_PM,AET_NLF4_PT,AET_NLF4_HS,AET_NLF4_OD,AET_NLF4_Ham,AET_NLF4_TH,AET_NLF4_BR,AET_lf_P,AET_lf_PM,AET_lf_PT,AET_lf_HS,AET_lf_OD,AET_lf_Ham,AET_lf_TH,AET_lf_BR,AET_PF_P,AET_PF_PM,AET_PF_PT,AET_PF_HS,AET_PF_OD,AET_PF_Ham,AET_PF_TH,AET_PF_BR,AET_B1963_P,AET_B1963_PM,AET_B1963_PT,AET_B1963_HS,AET_B1963_OD,AET_B1963_Ham,AET_B1963_TH,AET_B1963_BR,AET_G1989_P,AET_G1989_PM,AET_G1989_PT,AET_G1989_HS,AET_G1989_OD,AET_G1989_Ham,AET_G1989_TH,AET_G1989_BR,AET_B2015_P,AET_B2015_PM,AET_B2015_PT,AET_B2015_HS,AET_B2015_OD,AET_B2015_Ham,AET_B2015_TH,AET_B2015_BR,AET_M2015_P,AET_M2015_PM,AET_M2015_PT,AET_M2015_HS,AET_M2015_OD,AET_M2015_Ham,AET_M2015_TH,AET_M2015_BR
26.819,241.778,411.924,441,5.829,100.239,0.707,140,0,28.5265,0,11,11.64346939,0.44,1.682133701,4.08168041,1.511162475,3.325658497,1.75889246,1.514026338,4.539295211,2.937867,1.682133701,1.511162475,4.08168041,3.325658497,1.75889246,1.514026338,4.539295211,2.937867,1.682133701,1.511162475,4.08168041,3.325658497,1.75889246,1.514026338,4.539295211,2.937867,0.7401388282,0.6649114891,1.795939381,1.463289738,0.7739126824,0.6661715886,1.997289893,1.29266148,1.677031697,1.506579037,4.06930045,3.315571592,1.753557643,1.509434213,4.52552728,2.928956288,28.51037289,29.24121894,33.28872124,22.78652764,34.069947,34.12190629,32.5376081,21.81664813,1.682133701,1.511162475,4.08168041,3.325658497,1.75889246,1.514026338,4.539295211,2.937867,6.48122712,6.652198346,4.08168041,4.837702324,6.404468361,6.649334483,3.62406561,5.225493821,16.22995373,16.28494865,15.45811108,15.70129449,16.20526336,16.28402746,15.31091385,15.82603222,-6.642466938,-11.55649549,4.08168041,3.839676861,-5.018932593,-11.45549864,4.035722123,3.35982236,24.07790299,25.5026632,4.08168041,10.38186303,23.43824666,25.47879768,0.2682237375,13.61345883
26.51,242.89,411.062,441,6.044,100.332,0.615,140,0,24.1716,0,11,9.865959184,0.44,1.677710883,3.970720871,1.50686773,3.400538466,1.725516329,1.486759604,4.365830408,2.983312,1.677710883,1.50686773,3.970720871,3.400538466,1.725516329,1.486759604,4.365830408,2.983312,1.677710883,1.50686773,3.970720871,3.400538466,1.725516329,1.486759604,4.365830408,2.983312,0.7381927884,0.6630218011,1.747117183,1.496236925,0.7592271847,0.6541742256,1.92096538,1.31265728,1.672622293,1.502297317,3.958677457,3.390224446,1.720282743,1.48225018,4.352588605,2.974263451,28.43541084,29.15811497,32.38377504,23.29958528,33.42344755,33.5073906,31.29421468,22.15412344,1.677710883,1.50686773,3.970720871,3.400538466,1.725516329,1.486759604,4.365830408,2.983312,6.26373086,6.434574013,3.970720871,4.540903277,6.215925414,6.454682139,3.575611335,4.958129743,15.56116555,15.61704808,14.81112546,14.99763126,15.54552846,15.62362542,14.68188573,15.1341054,-5.553191302,-10.00177164,3.970720871,3.843443117,-4.608381224,-10.66491129,3.934649969,3.466270798,23.07913745,24.50283039,3.970720871,8.722240918,22.68075873,24.6703981,0.6781413999,12.19912813
26.7,245.743,412.513,441,7.139,100.289,0.597,140,0,23.2257,0,11,9.479877551,0.44,1.711342734,4.03873435,1.525566847,3.249599837,1.745963106,1.503474418,4.47107427,2.854983,1.711342734,1.525566847,4.03873435,3.249599837,1.745963106,1.503474418,4.47107427,2.854983,1.711342734,1.525566847,4.03873435,3.249599837,1.745963106,1.503474418,4.47107427,2.854983,0.7529908029,0.6712494127,1.777043114,1.429823928,0.7682237668,0.6615287438,1.967272679,1.25619252,1.706152137,1.520939719,4.026484647,3.239743622,1.740667504,1.498914297,4.457513257,2.84632368,29.00543486,29.51994568,32.93846857,22.26539393,33.81950396,33.88409562,32.0486013,21.2011502,1.711342734,1.525566847,4.03873435,3.249599837,1.745963106,1.503474418,4.47107427,2.854983,6.366125966,6.551901852,4.03873435,4.827868862,6.331505593,6.573994282,3.606394429,5.222485699,15.95796912,16.01812133,15.2043851,15.45989825,15.94675943,16.02527462,15.06439815,15.58767088,-5.546522633,-10.40358469,4.03873435,3.765043131,-4.859122957,-11.14733204,3.996877428,3.226550812,23.43366448,24.98179687,4.03873435,10.61485529,23.14516138,25.16590045,0.4359016781,13.90332893
25.797,195.635,412.295,441,4.779,100.205,0.633,140,0,28.5265,0,11,11.64346939,0.44,1.630486011,3.722599828,1.475580386,3.208021827,1.650899559,1.425470066,4.007885676,2.736974,1.630486011,1.475580386,3.722599828,3.208021827,1.650899559,1.425470066,4.007885676,2.736974,1.630486011,1.475580386,3.722599828,3.208021827,1.650899559,1.425470066,4.007885676,2.736974,0.7174138448,0.64925537,1.637943924,1.411529604,0.7263958061,0.6272068289,1.763469697,1.20426856,1.625540657,1.47110487,3.711308978,3.198291721,1.64589229,1.421146537,3.995729539,2.728672608,27.63499961,28.55270022,30.36018882,21.98051247,31.97811224,32.12609635,28.72847157,20.32481344,1.630486011,1.475580386,3.722599828,3.208021827,1.650899559,1.425470066,4.007885676,2.736974,5.814713645,5.969619269,3.722599828,4.237177828,5.794300096,6.01972959,3.437313979,4.708225655,14.15466617,14.20716243,13.44566585,13.62005214,14.14774819,14.22414441,13.3489848,13.77968641,-4.085468962,-7.523212516,3.722599828,3.613482784,-3.725805568,-8.974109609,3.701636061,3.161049464,21.15688163,22.44776184,3.722599828,8.010749833,20.98676873,22.86534784,1.345217759,11.93614839
25.894,189.511,414.825,441,5.222,100.212,0.567,140,0,24.1716,0,11,9.865959184,0.44,1.641340461,3.755355239,1.483668279,2.931781854,1.660857984,1.433676558,4.05337876,2.476433,1.641340461,1.483668279,3.755355239,2.931781854,1.660857984,1.433676558,4.05337876,2.476433,1.641340461,1.483668279,3.755355239,2.931781854,1.660857984,1.433676558,4.05337876,2.476433,0.7221898027,0.6528140426,1.652356305,1.289984016,0.7307775131,0.6308176855,1.783486655,1.08963052,1.636362185,1.479168231,3.74396504,2.922889598,1.655820511,1.429328138,4.04108464,2.468921843,27.81897096,28.70920214,30.6273302,20.08778963,32.17100806,32.31104766,29.0545654,18.39003174,1.641340461,1.483668279,3.755355239,2.931781854,1.660857984,1.433676558,4.05337876,2.476433,5.869370017,6.027042198,3.755355239,4.578928624,5.849852493,6.077033919,3.457331717,5.034277477,14.33794165,14.39111249,13.62504516,13.90277386,14.33135987,14.4079709,13.52454448,14.05632842,-4.184803897,-7.722581903,3.755355239,3.413463361,-3.837486228,-9.188277148,3.732797218,2.571513904,21.37214506,22.6860799,3.755355239,10.61846678,21.20949902,23.10267758,1.271825891,14.41304056
26.092,227.539,416.984,441,5.663,100.152,0.974,140,0,23.2257,0,11,9.479877551,0.44,1.685732619,3.82237715,1.501280578,2.702148442,1.681372336,1.450555857,4.149260944,2.272188,1.685732619,1.501280578,3.82237715,2.702148442,1.681372336,1.450555857,4.149260944,2.272188,1.685732619,1.501280578,3.82237715,2.702148442,1.681372336,1.450555857,4.149260944,2.272188,0.7417223522,0.6605634544,1.681845946,1.188945314,0.739803828,0.6382445769,1.825674816,0.99976272,1.680619699,1.496727112,3.81078367,2.693952677,1.676272642,1.446156241,4.136676008,2.265296329,28.57137071,29.05000276,31.17393686,18.51440255,32.56837339,32.6914597,29.74184763,16.87330505,1.685732619,1.501280578,3.82237715,2.702148442,1.681372336,1.450555857,4.149260944,2.272188,5.95902168,6.143473721,3.82237715,4.942605857,5.963381963,6.194198442,3.495493355,5.372566299,14.71792579,14.77945928,14.00513785,14.37884789,14.71938038,14.79638112,13.89608891,14.52228336,-3.989248719,-8.10604111,3.82237715,3.053917674,-4.066271106,-9.628632086,3.796031102,1.684062159,21.62774824,23.16484858,3.82237715,13.15761638,21.66408393,23.58755459,1.098345526,16.74062006
25.702,211.264,413.734,441,5.411,100.03,1.181,140,0,28.5265,0,11,11.64346939,0.44,1.685842481,3.689215088,1.491972549,3.04056164,1.641204341,1.417472495,3.964243038,2.565208,1.685842481,1.491972549,3.689215088,3.04056164,1.641204341,1.417472495,3.964243038,2.565208,1.685842481,1.491972549,3.689215088,3.04056164,1.641204341,1.417472495,3.964243038,2.565208,0.7417706917,0.6564679214,1.623254639,1.337847122,0.7221299102,0.6236878979,1.744266937,1.12869152,1.680729228,1.487447314,3.678025496,3.03133945,1.636226479,1.413173223,3.952219272,2.557427583,28.57323277,28.869891,30.08791485,20.8331198,31.79031476,31.94585355,28.41564172,19.04927633,1.685842481,1.491972549,3.689215088,3.04056164,1.641204341,1.417472495,3.964243038,2.565208,5.692587694,5.886457627,3.689215088,4.337868535,5.737225834,5.96095768,3.414187137,4.813222175,13.96789876,14.0338074,13.28682585,13.50734414,13.98307408,14.05913467,13.19332648,13.66894687,-2.888725794,-6.686457276,3.689215088,3.496868351,-3.605182939,-8.746274,3.669475193,2.858657584,20.38398681,21.99956958,3.689215088,9.094660481,20.75597131,22.62040336,1.397315498,13.05594082
25.509,189.526,414.656,441,5.223,99.904,1.453,140,0,24.1716,0,11,9.865959184,0.44,1.694156841,3.624375119,1.48631966,2.924711491,1.621682721,1.401345155,3.878271762,2.434409,1.694156841,1.48631966,3.624375119,2.924711491,1.621682721,1.401345155,3.878271762,2.434409,1.694156841,1.48631966,3.624375119,2.924711491,1.621682721,1.401345155,3.878271762,2.434409,0.7454290099,0.6539806505,1.594725053,1.286873056,0.7135403972,0.6165918683,1.706439575,1.07113996,1.68901837,1.481811571,3.613382191,2.915840681,1.616764068,1.397094798,3.866508751,2.427025304,28.7141523,28.76050677,29.55910333,20.03934538,31.41217876,31.58238854,27.79940075,18.07796083,1.694156841,1.48631966,3.624375119,2.924711491,1.621682721,1.401345155,3.878271762,2.434409,5.554593398,5.762430579,3.624375119,4.324038747,5.627067518,5.847405084,3.370478477,4.814341239,13.61196133,13.68323676,12.95001467,13.18995645,13.63681552,13.71237781,12.86294367,13.35810018,-2.28821136,-6.069938875,3.624375119,3.386113037,-3.385583206,-8.327196093,3.60709958,2.603664096,19.70952744,21.44150395,3.624375119,9.454905353,20.31347844,22.14962482,1.508569764,13.54075945
25.317,130.603,420.46,441,3.386,99.882,1.586,140,0,23.2257,0,11,9.479877551,0.44,1.620791912,3.561902505,1.415834996,2.27024189,1.602492656,1.385460325,3.796185596,1.771629,1.620791912,1.415834996,3.561902505,2.27024189,1.602492656,1.385460325,3.796185596,1.771629,1.620791912,1.415834996,3.561902505,2.27024189,1.602492656,1.385460325,3.796185596,1.771629,0.7131484413,0.6229673982,1.567237102,0.9989064314,0.7050967685,0.6096025428,1.670321662,0.77951676,1.615875961,1.411540691,3.551099059,2.263356121,1.597632208,1.381258147,3.784671556,1.766255552,27.47069497,27.39661802,29.0495991,15.55509371,31.04046501,31.22438902,27.21100819,13.15614577,1.620791912,1.415834996,3.561902505,2.27024189,1.602492656,1.385460325,3.796185596,1.771629,5.503013098,5.707970014,3.561902505,4.853563121,5.521312354,5.738344686,3.327619414,5.35217601,13.28659812,13.35757223,12.61441495,13.06170143,13.29293493,13.36809061,12.53328554,13.23436506,-2.894304584,-7.092233437,3.561902505,2.191805498,-3.183744097,-7.939879712,3.546808454,-0.952902529,19.73782411,21.44579841,3.561902505,14.32574097,19.89031792,21.69892068,1.609543417,18.48084838
24.791,154.769,416.042,441,3.335,100.041,1.617,140,0,28.5265,0,11,11.64346939,0.44,1.61118143,3.398013703,1.402586758,2.724901294,1.551075136,1.342743923,3.587606818,2.170609,1.61118143,1.402586758,3.398013703,2.724901294,1.551075136,1.342743923,3.587606818,2.170609,1.61118143,1.402586758,3.398013703,2.724901294,1.551075136,1.342743923,3.587606818,2.170609,0.7089198292,0.6171381736,1.495126029,1.198956569,0.68247306,0.5908073259,1.578547,0.95506796,1.606294628,1.398332636,3.387707341,2.716636519,1.54637064,1.338671307,3.576725409,2.164025424,27.30780755,27.14026265,27.71298082,18.67029905,30.04450181,30.26168116,25.71591827,16.11897774,1.61118143,1.402586758,3.398013703,2.724901294,1.551075136,1.342743923,3.587606818,2.170609,5.184845976,5.393440647,3.398013703,4.071126112,5.244952269,5.453283483,3.208420588,4.625418406,12.35688419,12.43123597,11.71998319,11.95990832,12.37830856,12.45256643,11.65240436,12.15748104,-1.838996649,-5.479058459,3.398013703,3.159638178,-2.686554555,-6.980775926,3.387445222,2.107385231,18.28828264,20.02657157,3.398013703,9.007283775,18.78916842,20.52526187,1.818071078,13.62638623
